DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Charter,Arrival,Domestic,57
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Charter,Arrival,International,299
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Charter,Departure,Domestic,62
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Charter,Departure,International,5
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Commuter,Arrival,Domestic,5996
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Commuter,Arrival,International,31
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Commuter,Departure,Domestic,5995
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Commuter,Departure,International,31
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Scheduled,Arrival,Domestic,13695
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Scheduled,Arrival,International,4026
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Scheduled,Departure,Domestic,13666
2014-05-01T00:00:00.000,2006-01-01T00:00:00.000,Scheduled,Departure,International,4085
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Charter,Arrival,Domestic,22
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Charter,Arrival,International,101
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Charter,Departure,Domestic,21
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Charter,Departure,International,100
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Commuter,Arrival,Domestic,5525
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Commuter,Arrival,International,28
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Commuter,Departure,Domestic,5525
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Commuter,Departure,International,28
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Scheduled,Arrival,Domestic,12308
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Scheduled,Arrival,International,3381
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Scheduled,Departure,Domestic,12322
2014-05-01T00:00:00.000,2006-02-01T00:00:00.000,Scheduled,Departure,International,3398
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Charter,Arrival,Domestic,51
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Charter,Arrival,International,4
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Charter,Departure,Domestic,47
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Charter,Departure,International,5
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Commuter,Arrival,Domestic,6217
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Commuter,Arrival,International,31
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Commuter,Departure,Domestic,6216
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Commuter,Departure,International,30
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Scheduled,Arrival,Domestic,13925
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Scheduled,Arrival,International,3952
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Scheduled,Departure,Domestic,13963
2014-05-01T00:00:00.000,2006-03-01T00:00:00.000,Scheduled,Departure,International,3961
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Charter,Arrival,Domestic,57
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Charter,Arrival,International,2
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Charter,Departure,Domestic,52
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Commuter,Arrival,Domestic,5885
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Commuter,Arrival,International,31
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Commuter,Departure,Domestic,5886
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Commuter,Departure,International,31
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Scheduled,Arrival,Domestic,13420
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Scheduled,Arrival,International,3884
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Scheduled,Departure,Domestic,13461
2014-05-01T00:00:00.000,2006-04-01T00:00:00.000,Scheduled,Departure,International,3897
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Charter,Arrival,Domestic,26
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Charter,Arrival,International,5
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Charter,Departure,Domestic,24
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Charter,Departure,International,3
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Commuter,Arrival,Domestic,6089
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Commuter,Arrival,International,41
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Commuter,Departure,Domestic,6089
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Commuter,Departure,International,41
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Scheduled,Arrival,Domestic,14126
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Scheduled,Arrival,International,3968
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Scheduled,Departure,Domestic,14138
2014-05-01T00:00:00.000,2006-05-01T00:00:00.000,Scheduled,Departure,International,3984
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Charter,Arrival,Domestic,18
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Charter,Departure,Domestic,18
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Commuter,Arrival,Domestic,5980
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Commuter,Arrival,International,39
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Commuter,Departure,Domestic,5980
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Commuter,Departure,International,39
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Scheduled,Arrival,Domestic,14208
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Scheduled,Arrival,International,4030
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Scheduled,Departure,Domestic,14211
2014-05-01T00:00:00.000,2006-06-01T00:00:00.000,Scheduled,Departure,International,4028
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Charter,Arrival,Domestic,16
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Charter,Arrival,International,2
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Charter,Departure,Domestic,14
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Commuter,Arrival,Domestic,6092
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Commuter,Arrival,International,39
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Commuter,Departure,Domestic,6092
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Commuter,Departure,International,39
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Scheduled,Arrival,Domestic,14866
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Scheduled,Arrival,International,4483
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Scheduled,Departure,Domestic,14883
2014-05-01T00:00:00.000,2006-07-01T00:00:00.000,Scheduled,Departure,International,4506
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Charter,Arrival,Domestic,15
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Charter,Departure,Domestic,16
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Arrival,Domestic,6134
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Arrival,International,40
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Departure,Domestic,6134
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Commuter,Departure,International,40
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Arrival,Domestic,15243
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Arrival,International,4303
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Departure,Domestic,15272
2014-05-01T00:00:00.000,2006-08-01T00:00:00.000,Scheduled,Departure,International,4328
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Charter,Arrival,Domestic,24
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Charter,Arrival,International,1
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Charter,Departure,Domestic,18
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Arrival,Domestic,5903
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Arrival,International,37
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Departure,Domestic,5903
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Commuter,Departure,International,37
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Arrival,Domestic,13832
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Arrival,International,3823
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Departure,Domestic,13815
2014-05-01T00:00:00.000,2006-09-01T00:00:00.000,Scheduled,Departure,International,3865
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Charter,Arrival,Domestic,48
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Charter,Arrival,International,285
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Charter,Departure,Domestic,50
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Arrival,Domestic,6135
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Arrival,International,40
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Departure,Domestic,6135
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Commuter,Departure,International,40
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Arrival,Domestic,14292
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Arrival,International,3605
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Departure,Domestic,14332
2014-05-01T00:00:00.000,2006-10-01T00:00:00.000,Scheduled,Departure,International,3898
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Arrival,Domestic,48
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Arrival,International,3
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Departure,Domestic,50
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Charter,Departure,International,2
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Arrival,Domestic,5772
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Arrival,International,39
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Departure,Domestic,5772
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Commuter,Departure,International,39
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Arrival,Domestic,13855
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Arrival,International,3706
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Departure,Domestic,13855
2014-05-01T00:00:00.000,2006-11-01T00:00:00.000,Scheduled,Departure,International,3718
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Arrival,Domestic,46
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Arrival,International,6
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Departure,Domestic,44
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Charter,Departure,International,3
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Arrival,Domestic,6144
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Arrival,International,40
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Departure,Domestic,6144
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Commuter,Departure,International,40
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Arrival,Domestic,14417
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Arrival,International,4086
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Departure,Domestic,14474
2014-05-01T00:00:00.000,2006-12-01T00:00:00.000,Scheduled,Departure,International,4103
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Arrival,Domestic,38
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Arrival,International,3
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Departure,Domestic,42
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Charter,Departure,International,3
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Arrival,Domestic,6081
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Arrival,International,94
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Departure,Domestic,6081
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Commuter,Departure,International,94
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Arrival,Domestic,14140
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Arrival,International,4301
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Departure,Domestic,14165
2014-05-01T00:00:00.000,2007-01-01T00:00:00.000,Scheduled,Departure,International,4308
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Arrival,Domestic,14
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Arrival,International,7
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Departure,Domestic,16
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Charter,Departure,International,5
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Arrival,Domestic,5470
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Arrival,International,83
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Departure,Domestic,5470
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Commuter,Departure,International,83
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Arrival,Domestic,12734
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Arrival,International,3779
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Departure,Domestic,12768
2014-05-01T00:00:00.000,2007-02-01T00:00:00.000,Scheduled,Departure,International,3783
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Arrival,Domestic,33
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Arrival,International,4
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Departure,Domestic,33
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Charter,Departure,International,4
2014-05-01T00:00:00.000,2007-03-01T00:00:00.000,Commuter,Arrival,Domestic,6105
