ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2013-05-01T00:00:00,Entry,Lower Level,1053332,2013-05-01|Entry|Lower Level
2013-05-01T00:00:00,Entry,Upper Level,1187877,2013-05-01|Entry|Upper Level
2013-05-01T00:00:00,Exit,Lower Level,1628153,2013-05-01|Exit|Lower Level
2013-05-01T00:00:00,Exit,Upper Level,693932,2013-05-01|Exit|Upper Level
2013-06-01T00:00:00,Entry,Lower Level,1083029,2013-06-01|Entry|Lower Level
2013-06-01T00:00:00,Entry,Upper Level,1250703,2013-06-01|Entry|Upper Level
2013-06-01T00:00:00,Exit,Lower Level,1688181,2013-06-01|Exit|Lower Level
2013-06-01T00:00:00,Exit,Upper Level,719880,2013-06-01|Exit|Upper Level
2013-07-01T00:00:00,Entry,Lower Level,1128363,2013-07-01|Entry|Lower Level
2013-07-01T00:00:00,Entry,Upper Level,1266198,2013-07-01|Entry|Upper Level
2013-07-01T00:00:00,Exit,Lower Level,1797155,2013-07-01|Exit|Lower Level
2013-07-01T00:00:00,Exit,Upper Level,720737,2013-07-01|Exit|Upper Level
2013-08-01T00:00:00,Entry,Lower Level,1122657,2013-08-01|Entry|Lower Level
2013-08-01T00:00:00,Entry,Upper Level,1275065,2013-08-01|Entry|Upper Level
2013-08-01T00:00:00,Exit,Lower Level,1808899,2013-08-01|Exit|Lower Level
2013-08-01T00:00:00,Exit,Upper Level,720653,2013-08-01|Exit|Upper Level
2013-09-01T00:00:00,Entry,Lower Level,977444,2013-09-01|Entry|Lower Level
2013-09-01T00:00:00,Entry,Upper Level,1129512,2013-09-01|Entry|Upper Level
2013-09-01T00:00:00,Exit,Lower Level,1638504,2013-09-01|Exit|Lower Level
2013-09-01T00:00:00,Exit,Upper Level,640625,2013-09-01|Exit|Upper Level
2013-10-01T00:00:00,Entry,Lower Level,1013725,2013-10-01|Entry|Lower Level
2013-10-01T00:00:00,Entry,Upper Level,1170641,2013-10-01|Entry|Upper Level
2013-10-01T00:00:00,Exit,Lower Level,1712169,2013-10-01|Exit|Lower Level
2013-10-01T00:00:00,Exit,Upper Level,664889,2013-10-01|Exit|Upper Level
2013-11-01T00:00:00,Entry,Lower Level,962471,2013-11-01|Entry|Lower Level
2013-11-01T00:00:00,Entry,Upper Level,1112325,2013-11-01|Entry|Upper Level
2013-11-01T00:00:00,Exit,Lower Level,1617819,2013-11-01|Exit|Lower Level
2013-11-01T00:00:00,Exit,Upper Level,630767,2013-11-01|Exit|Upper Level
2013-12-01T00:00:00,Entry,Lower Level,1129366,2013-12-01|Entry|Lower Level
2013-12-01T00:00:00,Entry,Upper Level,1280085,2013-12-01|Entry|Upper Level
2013-12-01T00:00:00,Exit,Lower Level,1891765,2013-12-01|Exit|Lower Level
2013-12-01T00:00:00,Exit,Upper Level,738131,2013-12-01|Exit|Upper Level
2014-01-01T00:00:00,Entry,Lower Level,1036484,2014-01-01|Entry|Lower Level
2014-01-01T00:00:00,Entry,Upper Level,1172826,2014-01-01|Entry|Upper Level
2014-01-01T00:00:00,Exit,Lower Level,1775030,2014-01-01|Exit|Lower Level
