DataSet,ID,LocationName,Terminal,TerminalLevel,LocationType,Campus,DataExportDateTime,Lat,Long
Defibrillator,Defib56367,Defibrillator,3,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945028430000001,-118.40732401
Defibrillator,Defib56368,Defibrillator,3,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945119089999999,-118.40663238
Defibrillator,Defib56366,Defibrillator,3,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946315990000002,-118.40738589
Defibrillator,Defib56369,Defibrillator,3,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94502456,-118.40707113000001
Defibrillator,Defib56370,Defibrillator,3,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945520870000003,-118.4072738
Defibrillator,Defib56371,Defibrillator,3,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94657248,-118.40722629
Defibrillator,Defib56372,Defibrillator,3,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946537730000003,-118.40754324
Defibrillator,Defib56373,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.939943470000003,-118.41003653
Defibrillator,Defib56374,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.940827730000002,-118.41015078
Defibrillator,Defib56375,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94220979,-118.41038786
Defibrillator,Defib56376,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.944073889999999,-118.40962585
Defibrillator,Defib56377,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943896780000003,-118.41000941999999
Defibrillator,Defib56378,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943279709999999,-118.41004356000001
Defibrillator,Defib56379,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943072520000001,-118.41050022
Defibrillator,Defib56380,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.944265729999998,-118.41053112
Defibrillator,Defib56381,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945198679999997,-118.4108055
Defibrillator,Defib56382,Defibrillator,T2,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945383870000001,-118.40437029
Defibrillator,Defib56383,Defibrillator,T2,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94533912,-118.40529379
Defibrillator,Defib56384,Defibrillator,T2,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945486559999999,-118.40359119999999
Defibrillator,Defib56385,Defibrillator,T2,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945415689999997,-118.40412788
Defibrillator,Defib56386,Defibrillator,T2,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945157709999997,-118.40576897
Defibrillator,Defib56388,Defibrillator,T2,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946431930000003,-118.404298
Defibrillator,Defib56389,Defibrillator,T2,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94590719,-118.40385497
Defibrillator,Defib56390,Defibrillator,T2,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946804010000001,-118.40419874
Defibrillator,Defib56391,Defibrillator,T2,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946836070000003,-118.40409918
Defibrillator,Defib56392,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943351180000001,-118.40849808
Defibrillator,Defib56393,Defibrillator,TBIT,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943728710000002,-118.40855357
Defibrillator,Defib56394,Defibrillator,TBIT,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943270130000002,-118.40848618
Defibrillator,Defib56395,Defibrillator,TBIT,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94324108,-118.40919275
Defibrillator,Defib56396,Defibrillator,T2,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945858370000003,-118.40427705
Defibrillator,Defib56397,Defibrillator,T2,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946366009999998,-118.40422045
Defibrillator,Defib56398,Defibrillator,T2,4,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946436519999999,-118.40401384
Defibrillator,Defib56399,Defibrillator,TBIT,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942763859999999,-118.40943353
Defibrillator,Defib56400,Defibrillator,TBIT,4,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942788559999997,-118.40945368
Defibrillator,Defib56401,Defibrillator,TBIT,4,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943894489999998,-118.41000776
Defibrillator,Defib56402,Defibrillator,TBIT,4,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94318449,-118.40986515
Defibrillator,Defib56403,Defibrillator,T1,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945677379999999,-118.40109777000001
Defibrillator,Defib56404,Defibrillator,T1,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945647340000001,-118.40084143
Defibrillator,Defib56405,Defibrillator,T1,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.946206770000003,-118.40111589
Defibrillator,Defib56408,Defibrillator,T1,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94576747,-118.40185030000001
Defibrillator,Defib56409,Defibrillator,T1,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.945903309999998,-118.40071182
Defibrillator,Defib56410,Defibrillator,T1,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94755825,-118.40133144000001
